,Cert_ID,Class_Type,Effective_Date,Change_Type
0,20562,Commercial,2000-01-01,Combinations
1,15439,Commercial,2000-01-01,Combinations
2,17429,Commercial,2000-01-01,Combinations
3,132,Commercial,2000-01-01,Combinations
4,146,Commercial,2000-01-01,Combinations
5,3578,Commercial,2000-01-01,Combinations
6,15410,Commercial,2000-01-01,Combinations
7,2126,Commercial,2000-01-01,Combinations
8,27123,Commercial,2000-01-01,Combinations
9,1486,Commercial,2000-01-01,Combinations
10,19022,Commercial,2000-01-01,Combinations
11,2156,Commercial,2000-01-01,Combinations
12,8019,Commercial,2000-01-01,Combinations
13,2797,Commercial,2000-01-01,Combinations
14,16882,Commercial,2000-01-01,Combinations
15,894,Commercial,2000-01-01,Combinations
16,2152,Commercial,2000-01-01,Combinations
17,21043,Commercial,2000-01-01,Combinations
18,19820,Commercial,2000-01-01,Combinations
19,2139,Commercial,2000-01-01,Combinations
20,4955,Commercial,2000-01-01,Combinations
21,2117,Commercial,2000-01-01,Combinations
22,16331,Commercial,2000-01-01,Combinations
23,27469,Commercial,2000-01-01,Combinations
24,22759,Commercial,2000-01-01,Combinations
25,12543,Commercial,2000-01-01,Combinations
26,2121,Commercial,2000-01-01,Combinations
27,4946,Commercial,2000-01-01,Combinations
28,2114,Commercial,2000-01-01,Combinations
29,2250,Commercial,2000-01-01,Combinations
30,4184,Commercial,2000-01-01,Combinations
31,14745,Commercial,2000-01-01,Combinations
32,8950,Commercial,2000-01-01,Combinations
33,22108,Commercial,2000-01-03,Combinations
34,8708,Commercial,2000-01-03,Combinations
35,15212,Commercial,2000-01-03,Combinations
36,19146,Commercial,2000-01-03,Combinations
37,15150,Commercial,2000-01-03,Combinations
38,8713,Commercial,2000-01-03,Combinations
39,15211,Commercial,2000-01-03,Combinations
40,6199,Commercial,2000-01-03,Combinations
41,12318,Commercial,2000-01-03,Combinations
42,15015,Commercial,2000-01-03,Combinations
43,16109,Commercial,2000-01-03,Combinations
44,26961,Commercial,2000-01-03,Combinations
45,15224,Commercial,2000-01-03,Combinations
46,23424,Commercial,2000-01-03,Combinations
47,9516,Commercial,2000-01-03,Combinations
48,33705,Commercial,2000-01-03,Combinations
49,15090,Commercial,2000-01-03,Combinations
50,26893,Commercial,2000-01-03,Combinations
51,13583,Commercial,2000-01-03,Combinations
52,12807,Commercial,2000-01-03,Combinations
53,9046,Commercial,2000-01-03,Combinations
54,24191,Commercial,2000-01-05,Combinations
55,15322,Commercial,2000-01-06,Combinations
56,4612,Commercial,2000-01-06,Combinations
57,25681,Commercial,2000-01-06,Combinations
58,4639,Commercial,2000-01-06,Combinations
59,4743,Commercial,2000-01-06,Combinations
60,12420,Commercial,2000-01-06,Combinations
61,15055,Commercial,2000-01-06,Combinations
62,30232,Savings,2000-01-08,Combinations
63,31425,Commercial,2000-01-08,Combinations
64,17971,Commercial,2000-01-11,Combinations
65,3196,Commercial,2000-01-12,Combinations
66,15618,Savings,2000-01-13,Combinations
67,22675,Commercial,2000-01-14,Combinations
68,21945,Commercial,2000-01-14,Combinations
69,26978,Commercial,2000-01-14,Combinations
70,20444,Commercial,2000-01-14,Combinations
71,33102,Commercial,2000-01-15,Combinations
72,21753,Savings,2000-01-15,Combinations
73,6761,Commercial,2000-01-15,Combinations
74,21887,Commercial,2000-01-15,Combinations
75,6174,Commercial,2000-01-15,Combinations
76,34800,Commercial,2000-01-18,Combinations
77,3015,Commercial,2000-01-21,Combinations
78,27260,Commercial,2000-01-28,Combinations
79,5428,Commercial,2000-01-29,Combinations
80,23510,Savings,2000-01-31,Combinations
81,21896,Savings,2000-02-04,Combinations
82,28111,Commercial,2000-02-05,Combinations
83,4726,Commercial,2000-02-07,Combinations
84,12476,Commercial,2000-02-07,Combinations
85,32009,Savings,2000-02-08,Combinations
86,9261,Commercial,2000-02-11,Combinations
87,33441,Commercial,2000-02-11,Combinations
88,18486,Commercial,2000-02-11,Combinations
89,9192,Commercial,2000-02-12,Combinations
90,22375,Commercial,2000-02-12,Combinations
91,3602,Commercial,2000-02-12,Combinations
92,13901,Commercial,2000-02-15,Combinations
93,34029,Commercial,2000-02-18,Combinations
94,29210,Commercial,2000-02-19,Combinations
95,27145,Commercial,2000-02-19,Combinations
96,27553,Commercial,2000-02-19,Combinations
97,27446,Commercial,2000-02-22,Combinations
98,24918,Commercial,2000-02-25,Combinations
99,21930,Commercial,2000-02-25,Combinations
100,11221,Commercial,2000-02-28,Combinations
101,24706,Commercial,2000-02-29,Combinations
102,27021,Commercial,2000-02-29,Combinations
103,2499,Commercial,2000-03-01,Combinations
104,26782,Commercial,2000-03-01,Combinations
105,19210,Savings,2000-03-01,Combinations
106,10211,Commercial,2000-03-01,Combinations
107,24455,Commercial,2000-03-04,Combinations
108,26917,Commercial,2000-03-04,Combinations
109,15086,Commercial,2000-03-07,Combinations
110,27258,Commercial,2000-03-07,Combinations
111,23150,Commercial,2000-03-08,Combinations
112,16023,Commercial,2000-03-10,Combinations
113,13653,Commercial,2000-03-10,Combinations
114,9445,Commercial,2000-03-10,Combinations
115,29576,Commercial,2000-03-10,Combinations
116,23171,Commercial,2000-03-12,Combinations
117,22231,Commercial,2000-03-17,Combinations
118,26477,Commercial,2000-03-18,Combinations
119,2236,Commercial,2000-03-18,Combinations
120,9169,Commercial,2000-03-18,Combinations
121,11797,Commercial,2000-03-18,Combinations
122,12843,Commercial,2000-03-18,Combinations
123,34714,Commercial,2000-03-18,Combinations
124,17618,Commercial,2000-03-24,Combinations
125,34962,Commercial,2000-03-24,Combinations
126,29349,Savings,2000-03-24,Combinations
127,6265,Commercial,2000-03-24,Combinations
128,28137,Savings,2000-03-29,Combinations
