,Cert_ID,Class_Type,Effective_Date,Change_Type
1286,16608,Commercial,2005-12-31,Combinations
1287,11394,Commercial,2006-01-01,Combinations
1288,26489,Commercial,2006-01-01,Combinations
1289,17984,Commercial,2006-01-01,Combinations
1290,28495,Commercial,2006-01-01,Combinations
1291,34600,Commercial,2006-01-01,Combinations
1292,27770,Commercial,2006-01-01,Combinations
1293,33574,Commercial,2006-01-01,Combinations
1294,33921,Commercial,2006-01-01,Combinations
1295,32499,Commercial,2006-01-01,Combinations
1296,33406,Commercial,2006-01-01,Combinations
1297,27180,Commercial,2006-01-01,Combinations
1298,2681,Commercial,2006-01-01,Combinations
1299,202,Commercial,2006-01-01,Combinations
1300,33699,Commercial,2006-01-01,Combinations
1301,16935,Commercial,2006-01-01,Combinations
1302,1877,Commercial,2006-01-01,Combinations
1303,16743,Commercial,2006-01-01,Combinations
1304,278,Commercial,2006-01-01,Combinations
1305,9674,Commercial,2006-01-01,Combinations
1306,1801,Commercial,2006-01-01,Combinations
1307,34981,Commercial,2006-01-01,Combinations
1308,26006,Savings,2006-01-02,Combinations
1309,9302,Commercial,2006-01-03,Combinations
1310,27069,Commercial,2006-01-04,Combinations
1311,29088,Commercial,2006-01-04,Combinations
1312,34309,Commercial,2006-01-04,Combinations
1313,34083,Commercial,2006-01-06,Combinations
1314,19203,Commercial,2006-01-06,Combinations
1315,18386,Commercial,2006-01-11,Combinations
1316,7535,Savings,2006-01-12,Combinations
1317,34082,Commercial,2006-01-13,Combinations
1318,27789,Commercial,2006-01-17,Combinations
1319,34939,Commercial,2006-01-19,Combinations
1320,35313,Commercial,2006-01-20,Combinations
1321,25016,Commercial,2006-01-25,Combinations
1322,57126,Commercial,2006-01-31,Combinations
1323,12256,Commercial,2006-01-31,Combinations
1324,26479,Commercial,2006-01-31,Combinations
1325,34676,Commercial,2006-02-01,Combinations
1326,29612,Savings,2006-02-01,Combinations
1327,24243,Commercial,2006-02-01,Combinations
1328,33896,Commercial,2006-02-01,Combinations
1329,24707,Commercial,2006-02-01,Combinations
1330,16220,Commercial,2006-02-04,Combinations
1331,25296,Commercial,2006-02-09,Combinations
1332,7075,Commercial,2006-02-10,Combinations
1333,26514,Savings,2006-02-10,Combinations
1334,15878,Commercial,2006-02-11,Combinations
1335,16987,Commercial,2006-02-11,Combinations
1336,9066,Commercial,2006-02-11,Combinations
1337,32429,Commercial,2006-02-11,Combinations
1338,5599,Commercial,2006-02-11,Combinations
1339,33416,Commercial,2006-02-11,Combinations
1340,5224,Commercial,2006-02-13,Combinations
1341,57532,Commercial,2006-02-14,Combinations
1342,20360,Commercial,2006-02-16,Combinations
1343,1035,Commercial,2006-02-16,Combinations
1344,28672,Commercial,2006-02-17,Combinations
1345,10451,Commercial,2006-02-17,Combinations
1346,852,Commercial,2006-02-17,Combinations
1347,57486,Commercial,2006-02-24,Combinations
1348,19294,Commercial,2006-02-24,Combinations
1349,20410,Commercial,2006-02-28,Combinations
1350,34005,Savings,2006-02-28,Combinations
1351,3282,Commercial,2006-03-01,Combinations
1352,14953,Commercial,2006-03-01,Combinations
1353,34213,Commercial,2006-03-01,Combinations
1354,35271,Commercial,2006-03-01,Combinations
1355,31954,Commercial,2006-03-01,Combinations
1356,18020,Commercial,2006-03-03,Combinations
1357,32988,Commercial,2006-03-04,Combinations
1358,34844,Commercial,2006-03-04,Combinations
1359,57314,Savings,2006-03-04,Combinations
1360,10209,Commercial,2006-03-04,Combinations
1361,10563,Commercial,2006-03-10,Combinations
1362,11514,Commercial,2006-03-11,Combinations
1363,34257,Commercial,2006-03-15,Combinations
1364,16764,Commercial,2006-03-18,Combinations
1365,32111,Commercial,2006-03-18,Combinations
1366,35464,Commercial,2006-03-25,Combinations
1367,15832,Commercial,2006-03-25,Combinations
1368,26951,Commercial,2006-03-25,Combinations
1369,29644,Commercial,2006-03-27,Combinations
1370,34880,Commercial,2006-03-27,Combinations
1371,213,Commercial,2006-03-31,Combinations
1372,33332,Commercial,2006-03-31,Combinations
1373,31975,Savings,2006-03-31,Combinations
1374,5799,Commercial,2006-03-31,Combinations
1375,25862,Commercial,2006-04-01,Combinations
1376,24497,Commercial,2006-04-01,Combinations
1377,13732,Commercial,2006-04-01,Combinations
1378,11577,Commercial,2006-04-01,Combinations
1379,33417,Commercial,2006-04-01,Combinations
1380,4694,Commercial,2006-04-01,Combinations
1381,34305,Commercial,2006-04-01,Combinations
1382,35277,Commercial,2006-04-01,Combinations
1383,13155,Commercial,2006-04-03,Combinations
1384,1793,Savings,2006-04-05,Combinations
1385,32656,Savings,2006-04-07,Combinations
1386,8567,Commercial,2006-04-10,Combinations
1387,19747,Commercial,2006-04-21,Combinations
1388,6480,Commercial,2006-04-22,Combinations
1389,35515,Commercial,2006-04-22,Combinations
1390,14329,Commercial,2006-04-22,Combinations
1391,8102,Commercial,2006-04-24,Combinations
1392,57035,Commercial,2006-04-29,Combinations
1393,35294,Commercial,2006-04-29,Combinations
1394,17459,Commercial,2006-04-29,Combinations
1395,34543,Commercial,2006-04-29,Combinations
1396,1692,Commercial,2006-05-01,Combinations
1397,34798,Commercial,2006-05-05,Combinations
1398,34596,Commercial,2006-05-05,Combinations
1399,9347,Commercial,2006-05-06,Combinations
1400,1926,Commercial,2006-05-06,Combinations
1401,21104,Commercial,2006-05-10,Combinations
1402,1469,Commercial,2006-05-12,Combinations
1403,18795,Commercial,2006-05-13,Combinations
1404,9644,Commercial,2006-05-13,Combinations
1405,34952,Commercial,2006-05-15,Combinations
1406,26673,Commercial,2006-05-15,Combinations
1407,35269,Commercial,2006-05-16,Combinations
1408,34638,Commercial,2006-05-17,Combinations
1409,25050,Commercial,2006-05-19,Combinations
1410,22665,Commercial,2006-05-19,Combinations
1411,29550,Commercial,2006-05-19,Combinations
1412,27555,Savings,2006-05-19,Combinations
1413,34542,Commercial,2006-05-22,Combinations
1414,19435,Commercial,2006-05-22,Combinations
1415,35204,Commercial,2006-05-26,Combinations
1416,836,Commercial,2006-05-26,Combinations
1417,26743,Commercial,2006-06-01,Combinations
1418,33701,Commercial,2006-06-01,Combinations
1419,22120,Commercial,2006-06-01,Combinations
1420,25748,Commercial,2006-06-03,Combinations
1421,24903,Commercial,2006-06-03,Combinations
1422,34557,Commercial,2006-06-03,Combinations
1423,57372,Commercial,2006-06-03,Combinations
1424,31529,Savings,2006-06-09,Combinations
1425,35564,Commercial,2006-06-09,Combinations
1426,34410,Commercial,2006-06-09,Combinations
1427,22121,Commercial,2006-06-10,Combinations
1428,8192,Commercial,2006-06-10,Combinations
1429,10580,Commercial,2006-06-10,Combinations
1430,9350,Commercial,2006-06-10,Combinations
1431,34453,Commercial,2006-06-15,Combinations
1432,9335,Commercial,2006-06-17,Combinations
1433,34561,Commercial,2006-06-17,Combinations
1434,26384,Commercial,2006-06-19,Combinations
1435,22324,Commercial,2006-06-23,Combinations
1436,19746,Commercial,2006-06-23,Combinations
1437,10361,Commercial,2006-06-23,Combinations
1438,34892,Commercial,2006-06-23,Combinations
1439,34741,Commercial,2006-06-30,Combinations
1440,30450,Savings,2006-06-30,Combinations
1441,30243,Savings,2006-06-30,Combinations
1442,34750,Commercial,2006-07-01,Combinations
1443,7605,Commercial,2006-07-01,Combinations
1444,19671,Commercial,2006-07-01,Combinations
1445,1151,Commercial,2006-07-01,Combinations
1446,34947,Commercial,2006-07-01,Combinations
1447,16834,Commercial,2006-07-01,Combinations
1448,33370,Commercial,2006-07-03,Combinations
1449,12099,Commercial,2006-07-07,Combinations
1450,9308,Commercial,2006-07-08,Combinations
1451,30282,Savings,2006-07-11,Combinations
1452,32349,Commercial,2006-07-13,Combinations
1453,28485,Savings,2006-07-14,Combinations
1454,10468,Commercial,2006-07-15,Combinations
1455,34716,Commercial,2006-07-17,Combinations
1456,26744,Commercial,2006-07-21,Combinations
1457,35570,Commercial,2006-07-21,Combinations
1458,5029,Commercial,2006-07-22,Combinations
1459,2756,Commercial,2006-07-22,Combinations
1460,7948,Commercial,2006-07-22,Combinations
1461,13096,Commercial,2006-07-22,Combinations
1462,4347,Commercial,2006-07-22,Combinations
1463,4787,Commercial,2006-07-24,Combinations
1464,32174,Savings,2006-07-25,Combinations
1465,22393,Commercial,2006-07-28,Combinations
1466,15392,Commercial,2006-07-28,Combinations
1467,9470,Commercial,2006-07-29,Combinations
1468,10818,Commercial,2006-07-31,Combinations
1469,34041,Commercial,2006-08-01,Combinations
1470,22934,Commercial,2006-08-01,Combinations
1471,34715,Commercial,2006-08-01,Combinations
1472,12224,Commercial,2006-08-04,Combinations
1473,4555,Commercial,2006-08-04,Combinations
1474,91363,Savings,2006-08-05,Combinations
1475,27067,Savings,2006-08-08,Combinations
1476,28592,Commercial,2006-08-11,Combinations
1477,23234,Commercial,2006-08-12,Combinations
1478,35217,Commercial,2006-08-12,Combinations
1479,23158,Commercial,2006-08-16,Combinations
1480,35046,Commercial,2006-08-18,Combinations
1481,27066,Commercial,2006-08-18,Combinations
1482,34185,Commercial,2006-08-19,Combinations
1483,14764,Commercial,2006-08-19,Combinations
1484,9282,Commercial,2006-08-25,Combinations
1485,15266,Commercial,2006-08-25,Combinations
1486,5385,Commercial,2006-08-25,Combinations
1487,35282,Savings,2006-08-25,Combinations
1488,35045,Commercial,2006-08-25,Combinations
1489,34932,Commercial,2006-08-25,Combinations
1490,4969,Commercial,2006-08-26,Combinations
1491,27956,Commercial,2006-08-28,Combinations
1492,26436,Commercial,2006-08-28,Combinations
1493,7604,Commercial,2006-08-28,Combinations
1494,33222,Commercial,2006-09-01,Combinations
1495,15034,Commercial,2006-09-01,Combinations
1496,35272,Commercial,2006-09-01,Combinations
1497,35327,Commercial,2006-09-01,Combinations
1498,10412,Commercial,2006-09-01,Combinations
1499,27928,Commercial,2006-09-08,Combinations
1500,8337,Commercial,2006-09-08,Combinations
1501,10834,Commercial,2006-09-08,Combinations
1502,16018,Savings,2006-09-09,Combinations
1503,19338,Commercial,2006-09-11,Combinations
1504,15918,Commercial,2006-09-11,Combinations
1505,10562,Commercial,2006-09-11,Combinations
1506,22572,Commercial,2006-09-12,Combinations
1507,1939,Savings,2006-09-15,Combinations
